,Mean,executer,agar,timepoint,plate,serial_num,spot,normalized
115,78.028,ot2,YPD,2,2,6,1,1.0022864482980092
116,76.458,ot2,YPD,2,2,6,2,1.004268845310181
117,76.356,ot2,YPD,2,2,6,3,1.0051206444903709
118,76.43,ot2,YPD,2,2,6,4,1.0066115267095144
119,78.758,ot2,YPD,2,2,6,5,1.006029175076003
120,77.294,ot2,YPD,3,1,1,1,1.0011398077869595
121,76.973,ot2,YPD,3,1,1,2,1.000025983812085
122,77.015,ot2,YPD,3,1,1,3,1.000259757127086
123,77.108,ot2,YPD,3,1,1,4,1.0002983719270937
124,77.382,ot2,YPD,3,1,1,5,1.0001550988755332
125,77.098,ot2,YPD,3,1,2,1,1.001129708742907
126,77.488,ot2,YPD,3,1,2,2,0.9995098418595052
127,77.434,ot2,YPD,3,1,2,3,1.0004005012725603
128,77.223,ot2,YPD,3,1,2,4,1.000764605256337
129,76.611,ot2,YPD,3,1,2,5,1.0008360876324351
130,77.448,ot2,YPD,3,1,3,1,1.0004908926495284
131,77.734,ot2,YPD,3,1,3,2,0.999729920905408
132,77.819,ot2,YPD,3,1,3,3,1.000218503380376
133,77.755,ot2,YPD,3,1,3,4,1.0010041582450402
134,77.151,ot2,YPD,3,1,3,5,1.0008432140725942
135,77.171,ot2,YPD,3,1,4,1,1.0007261881605396
136,77.178,ot2,YPD,3,1,4,2,1.000401830272078
137,77.699,ot2,YPD,3,1,4,3,1.0005150723032743
138,78.121,ot2,YPD,3,1,4,4,1.0011148986339289
139,77.962,ot2,YPD,3,1,4,5,1.001889095932661
140,77.56,ot2,YPD,3,1,5,1,1.0014978565156758
141,77.871,ot2,YPD,3,1,5,2,1.000681076357655
142,77.857,ot2,YPD,3,1,5,3,1.00142772618527
143,77.651,ot2,YPD,3,1,5,4,1.0025434451416324
144,77.825,ot2,YPD,3,1,5,5,1.0028090249590889
145,79.355,ot2,YPD,3,1,6,1,1.0005043182248
146,78.738,ot2,YPD,3,1,6,2,1.001360786458267
147,78.294,ot2,YPD,3,1,6,3,1.0023556522852388
148,77.923,ot2,YPD,3,1,6,4,1.0024313685131343
149,78.991,ot2,YPD,3,1,6,5,1.0017755006277662
150,76.542,ot2,YPD,3,2,1,1,1.0021078540474726
151,75.974,ot2,YPD,3,2,1,2,0.9972958781832502
152,76.283,ot2,YPD,3,2,1,3,0.9962387849185724
153,76.354,ot2,YPD,3,2,1,4,0.998509180310718
154,77.499,ot2,YPD,3,2,1,5,1.002859804860374
155,75.914,ot2,YPD,3,2,2,1,0.9932877124576392
156,76.329,ot2,YPD,3,2,2,2,0.992768420368082
157,77.813,ot2,YPD,3,2,2,3,0.9927533458363634
158,76.65,ot2,YPD,3,2,2,4,0.9935448747861256
159,76.335,ot2,YPD,3,2,2,5,0.9962543394847432
160,76.055,ot2,YPD,3,2,3,1,0.9919786096256684
161,76.835,ot2,YPD,3,2,3,2,0.9894149915654736
162,77.485,ot2,YPD,3,2,3,3,0.9911990073298964
163,76.954,ot2,YPD,3,2,3,4,0.9910877572572958
164,76.157,ot2,YPD,3,2,3,5,0.9942426695213974
165,75.885,ot2,YPD,3,2,4,1,0.9913128674069236
166,76.088,ot2,YPD,3,2,4,2,0.9908581846594608
167,76.715,ot2,YPD,3,2,4,3,0.9920342424124866
168,77.348,ot2,YPD,3,2,4,4,0.9944458729750578
169,76.264,ot2,YPD,3,2,4,5,0.9959386222657524
170,76.108,ot2,YPD,3,2,5,1,0.9976143662341068
171,75.947,ot2,YPD,3,2,5,2,0.9945132650656052
172,76.361,ot2,YPD,3,2,5,3,0.9960476886152562
173,76.471,ot2,YPD,3,2,5,4,0.99783394443937
174,75.704,ot2,YPD,3,2,5,5,1.0043515177244744
175,77.992,ot2,YPD,3,2,6,1,1.0018240205523443
176,76.411,ot2,YPD,3,2,6,2,1.0036515046037855
177,76.305,ot2,YPD,3,2,6,3,1.0044493003541013
178,76.362,ot2,YPD,3,2,6,4,1.0057159414181855
179,78.68,ot2,YPD,3,2,6,5,1.005032828347342
180,77.486,ot2,YPD,4,1,1,1,1.003626661140326
181,77.019,ot2,YPD,4,1,1,2,1.0006236114900418
182,77.017,ot2,YPD,4,1,1,3,1.0002857328397947
183,77.08,ot2,YPD,4,1,1,4,0.9999351365375884
184,77.366,ot2,YPD,4,1,1,5,0.9999483003748222
185,77.258,ot2,YPD,4,1,2,1,1.0032073340172185
186,77.518,ot2,YPD,4,1,2,2,0.9998968088125276
187,77.432,ot2,YPD,4,1,2,3,1.0003746624807823
188,77.223,ot2,YPD,4,1,2,4,1.000764605256337
189,76.616,ot2,YPD,4,1,2,5,1.000901406978719
190,77.608,ot2,YPD,4,1,3,1,1.0025578090685958
191,77.745,ot2,YPD,4,1,3,2,0.9998713909073372
192,77.815,ot2,YPD,4,1,3,3,1.000167090820287
193,77.756,ot2,YPD,4,1,3,4,1.0010170320686946
194,77.156,ot2,YPD,4,1,3,5,1.0009080766935632
195,77.271,ot2,YPD,4,1,4,1,1.0020229527329314
196,77.215,ot2,YPD,4,1,4,2,1.0008814341452033
197,77.693,ot2,YPD,4,1,4,3,1.0004378114577832
198,78.122,ot2,YPD,4,1,4,4,1.0011277135607557
199,77.973,ot2,YPD,4,1,4,5,1.0020304568527918
200,77.65,ot2,YPD,4,1,5,1,1.0026599865709416
201,77.897,ot2,YPD,4,1,5,2,1.0010151892878256
202,77.865,ot2,YPD,4,1,5,3,1.001530625369794
203,77.663,ot2,YPD,4,1,5,4,1.0026983758101584
204,77.831,ot2,YPD,4,1,5,5,1.0028863375726418
205,79.409,ot2,YPD,4,1,6,1,1.0011851478282798
206,78.753,ot2,YPD,4,1,6,2,1.0015515509150337
207,78.304,ot2,YPD,4,1,6,3,1.0024836768659584
208,77.914,ot2,YPD,4,1,6,4,1.0023155890601283
209,78.955,ot2,YPD,4,1,6,5,1.0013189433234837
210,76.777,ot2,YPD,4,2,1,1,1.0051845354211126
211,76.017,ot2,YPD,4,2,1,2,0.9978603307954842
212,76.305,ot2,YPD,4,2,1,3,0.9965260999595148
213,76.363,ot2,YPD,4,2,1,4,0.9986268766019772
214,77.474,ot2,YPD,4,2,1,5,1.0025362975232277
215,76.092,ot2,YPD,4,2,2,1,0.9956167323066456
216,76.377,ot2,YPD,4,2,2,2,0.9933927294010534
217,77.826,ot2,YPD,4,2,2,3,0.992919202357714
218,76.675,ot2,YPD,4,2,2,4,0.9938689272567014
219,76.323,ot2,YPD,4,2,2,5,0.9960977265015268
220,76.238,ot2,YPD,4,2,3,1,0.9943654623712012
221,76.891,ot2,YPD,4,2,3,2,0.9901361113615
222,77.427,ot2,YPD,4,2,3,3,0.990457063180382
223,76.971,ot2,YPD,4,2,3,4,0.9913066996368132
224,76.143,ot2,YPD,4,2,3,5,0.9940598971252512
225,76.006,ot2,YPD,4,2,4,1,0.992893533638145
226,76.107,ot2,YPD,4,2,4,2,0.9911056127099882
227,76.722,ot2,YPD,4,2,4,3,0.992124762385072
228,77.371,ot2,YPD,4,2,4,4,0.9947415788120338
229,76.257,ot2,YPD,4,2,4,5,0.995847208619001
230,76.209,ot2,YPD,4,2,5,1,0.9989382618953992
231,75.953,ot2,YPD,4,2,5,2,0.994591834062279
232,76.366,ot2,YPD,4,2,5,3,0.9961129082750704
233,76.488,ot2,YPD,4,2,5,4,0.9980557694064224
234,75.695,ot2,YPD,4,2,5,5,1.004232116323498
235,78.071,ot2,YPD,4,2,6,1,1.0028387925497753
236,76.408,ot2,YPD,4,2,6,2,1.0036120998778455
237,76.29,ot2,YPD,4,2,6,3,1.0042518461963748
238,76.364,ot2,YPD,4,2,6,4,1.0057422821620483
239,78.654,ot2,YPD,4,2,6,5,1.0047007127711212
240,77.878,ot2,YPD,5,1,1,1,1.0087039867367822
241,77.132,ot2,YPD,5,1,1,2,1.0020916968728482
242,77.061,ot2,YPD,5,1,1,3,1.0008571985193844
243,77.099,ot2,YPD,5,1,1,4,1.000181617694753
244,77.356,ot2,YPD,5,1,1,5,0.999819051311878
245,77.555,ot2,YPD,5,1,2,1,1.007063925932659
246,77.611,ot2,YPD,5,1,2,2,1.0010964063668963
247,77.49,ot2,YPD,5,1,2,3,1.001123987442347
248,77.245,ot2,YPD,5,1,2,4,1.001049712301073
249,76.644,ot2,YPD,5,1,2,5,1.0012671953179093
250,77.908,ot2,YPD,5,1,3,1,1.006433277354347
251,77.825,ot2,YPD,5,1,3,2,1.0009002636486402
252,77.868,ot2,YPD,5,1,3,3,1.000848307241459
253,77.787,ot2,YPD,5,1,3,4,1.00141612060198
254,77.185,ot2,YPD,5,1,3,5,1.001284279895182
255,77.487,ot2,YPD,5,1,4,1,1.0048239642092978
256,77.266,ot2,YPD,5,1,4,2,1.0015425097541055
257,77.732,ot2,YPD,5,1,4,3,1.000940006953476
258,78.168,ot2,YPD,5,1,4,4,1.001717200194787
259,78.004,ot2,YPD,5,1,4,5,1.0024288376277068
260,77.842,ot2,YPD,5,1,5,1,1.0051391973555084
261,77.967,ot2,YPD,5,1,5,2,1.0019147240998227
262,77.905,ot2,YPD,5,1,5,3,1.0020451212924135
263,77.687,ot2,YPD,5,1,5,4,1.00300823714721
264,77.853,ot2,YPD,5,1,5,5,1.0031698171556689
265,79.53,ot2,YPD,5,1,6,1,1.0027107104582993
266,78.797,ot2,YPD,5,1,6,2,1.0021111266548817
267,78.324,ot2,YPD,5,1,6,3,1.0027397260273971
268,77.914,ot2,YPD,5,1,6,4,1.0023155890601283
269,78.953,ot2,YPD,5,1,6,5,1.0012935790288011
270,77.241,ot2,YPD,5,2,1,1,1.0112593446014062
271,76.136,ot2,YPD,5,2,1,2,0.99942242058283
272,76.352,ot2,YPD,5,2,1,3,0.9971399093651644
273,76.379,ot2,YPD,5,2,1,4,0.9988361144531046
274,77.488,ot2,YPD,5,2,1,5,1.0027174616320298
275,76.437,ot2,YPD,5,2,2,1,1.0001308438117418
276,76.484,ot2,YPD,5,2,2,2,0.994784418287052
277,77.876,ot2,YPD,5,2,2,3,0.9935571120552176
278,76.704,ot2,YPD,5,2,2,4,0.9942448281225696
279,76.349,ot2,YPD,5,2,2,5,0.9964370546318292
280,76.606,ot2,YPD,5,2,3,1,0.9991652536846224
281,77.012,ot2,YPD,5,2,3,2,0.991694245206485
282,77.495,ot2,YPD,5,2,3,3,0.9913269287349852
283,77.012,ot2,YPD,5,2,3,4,0.991834737140355
284,76.198,ot2,YPD,5,2,3,5,0.9947779315386824
285,76.248,ot2,YPD,5,2,4,1,0.996054866100588
286,76.201,ot2,YPD,5,2,4,2,0.99232973043365
287,76.761,ot2,YPD,5,2,4,3,0.992629087946619
288,77.41,ot2,YPD,5,2,4,4,0.9952429930573412
289,76.309,ot2,YPD,5,2,4,5,0.996526281423441
290,76.451,ot2,YPD,5,2,5,1,1.002110368331367
291,76.047,ot2,YPD,5,2,5,2,0.9958227483435036
292,76.423,ot2,YPD,5,2,5,3,0.996856412396953
293,76.54,ot2,YPD,5,2,5,4,0.9987342928350535
294,75.74,ot2,YPD,5,2,5,5,1.00482912332838
295,78.256,ot2,YPD,5,2,6,1,1.0052151573538857
296,76.482,ot2,YPD,5,2,6,2,1.004584083117702
297,76.334,ot2,YPD,5,2,6,3,1.0048310450590388
298,76.395,ot2,YPD,5,2,6,4,1.0061505636919186
299,78.687,ot2,YPD,5,2,6,5,1.0051222440794012
300,78.517,ot2,YPD,6,1,1,1,1.0169805455534544
301,77.275,ot2,YPD,6,1,1,2,1.0039495394369309
302,77.099,ot2,YPD,6,1,1,3,1.001350737060848
303,77.094,ot2,YPD,6,1,1,4,1.000116754232341
304,77.339,ot2,YPD,6,1,1,5,0.9995993279048726
305,78.049,ot2,YPD,6,1,2,1,1.0134785939670958
306,77.726,ot2,YPD,6,1,2,2,1.0025797796868148
307,77.527,ot2,YPD,6,1,2,3,1.001602005090242
308,77.278,ot2,YPD,6,1,2,4,1.001477372868177
309,76.653,ot2,YPD,6,1,2,5,1.0013847701412206
310,78.409,ot2,YPD,6,1,3,1,1.0129053093915517
311,77.925,ot2,YPD,6,1,3,2,1.0021863545752685
312,77.894,ot2,YPD,6,1,3,3,1.0011824888820338
313,77.803,ot2,YPD,6,1,3,4,1.0016221017804496
314,77.212,ot2,YPD,6,1,3,5,1.0016345380484135
315,77.821,ot2,YPD,6,1,4,1,1.009155157881087
316,77.353,ot2,YPD,6,1,4,2,1.0026702269692922
317,77.762,ot2,YPD,6,1,4,3,1.0013263111809318
318,78.191,ot2,YPD,6,1,4,4,1.0020119435118024
319,78.05,ot2,YPD,6,1,4,5,1.0030199832937094
320,78.159,ot2,YPD,6,1,5,1,1.0092324776612778
321,78.066,ot2,YPD,6,1,5,2,1.003186923333933
322,77.937,ot2,YPD,6,1,5,3,1.0024567180305095
323,77.714,ot2,YPD,6,1,5,4,1.0033568311513932
324,77.878,ot2,YPD,6,1,5,5,1.003491953045473
325,79.757,ot2,YPD,6,1,6,1,1.0055727163840384
326,78.867,ot2,YPD,6,1,6,2,1.0030013607864583
327,78.339,ot2,YPD,6,1,6,3,1.0029317628984764
328,77.942,ot2,YPD,6,1,6,4,1.0026757918028146
329,78.984,ot2,YPD,6,1,6,5,1.001686725596378
330,78.033,ot2,YPD,6,2,1,1,1.0216284154436313
331,76.358,ot2,YPD,6,2,1,2,1.0023365712785508
332,76.451,ot2,YPD,6,2,1,3,0.9984328270494052
333,76.44,ot2,YPD,6,2,1,4,0.9996338337605272
334,77.55,ot2,YPD,6,2,1,5,1.003519759828153
335,77.05,ot2,YPD,6,2,2,1,1.0081515694715215
336,76.667,ot2,YPD,6,2,2,2,0.9971645964752552
337,77.986,ot2,YPD,6,2,2,3,0.9949605133897246
338,76.78,ot2,YPD,6,2,2,4,0.9952299476331208
339,76.426,ot2,YPD,6,2,2,5,0.9974419879408004
340,77.237,ot2,YPD,6,2,3,1,1.0073953306377983
341,77.21,ot2,YPD,6,2,3,2,0.9942439187710058
342,77.591,ot2,YPD,6,2,3,3,0.9925549742238368
343,77.096,ot2,YPD,6,2,3,4,0.9929165700744405
344,76.264,ot2,YPD,6,2,3,5,0.9956395728348
345,76.664,ot2,YPD,6,2,4,1,1.0014892227302417
346,76.356,ot2,YPD,6,2,4,2,0.9943482224247948
347,76.867,ot2,YPD,6,2,4,3,0.9939998189600548
348,77.507,ot2,YPD,6,2,4,4,0.9964901002828492
349,76.396,ot2,YPD,6,2,4,5,0.9976624224616388
350,76.845,ot2,YPD,6,2,5,1,1.007274872198191
351,76.194,ot2,YPD,6,2,5,2,0.9977476887620146
352,76.524,ot2,YPD,6,2,5,3,0.9981738495252008
353,76.631,ot2,YPD,6,2,5,4,0.999921708835158
354,75.831,ot2,YPD,6,2,5,5,1.0060364041604757
355,78.583,ot2,YPD,6,2,6,1,1.0094155427103404
356,76.625,ot2,YPD,6,2,6,2,1.0064623750541817
357,76.427,ot2,YPD,6,2,6,3,1.0060552608369424
358,76.477,ot2,YPD,6,2,6,4,1.0072305341902856
359,78.763,ot2,YPD,6,2,6,5,1.0060930434560458
360,79.783,ot2,YPD,7,1,1,1,1.0333782348522136
361,77.671,ot2,YPD,7,1,1,2,1.009094334229775
362,77.234,ot2,YPD,7,1,1,3,1.0031040976686796
363,77.163,ot2,YPD,7,1,1,4,1.0010118700136217
364,77.38,ot2,YPD,7,1,1,5,1.000129249062944
365,79.032,ot2,YPD,7,1,2,1,1.0262430042461466
366,78.033,ot2,YPD,7,1,2,2,1.0065397415060755
367,77.648,ot2,YPD,7,1,2,3,1.0031652519928167
368,77.341,ot2,YPD,7,1,2,4,1.002293815769011
369,76.708,ot2,YPD,7,1,2,5,1.0021032829503442
370,79.373,ot2,YPD,7,1,3,1,1.025358480816432
371,78.193,ot2,YPD,7,1,3,2,1.005633078258633
372,78.004,ot2,YPD,7,1,3,3,1.0025963342844657
373,77.878,ot2,YPD,7,1,3,4,1.002587638554527
374,77.266,ot2,YPD,7,1,3,5,1.0023350543548764
375,78.494,ot2,YPD,7,1,4,1,1.0178823834532842
376,77.553,ot2,YPD,7,1,4,2,1.0052626803375373
377,77.837,ot2,YPD,7,1,4,3,1.0022920717495718
378,78.254,ot2,YPD,7,1,4,4,1.002819283901889
379,78.063,ot2,YPD,7,1,4,5,1.0031870461993189
380,78.776,ot2,YPD,7,1,5,1,1.0171995248179329
381,78.276,ot2,YPD,7,1,5,2,1.0058855277699246
382,78.018,ot2,YPD,7,1,5,3,1.0034985722738148
383,77.77,ot2,YPD,7,1,5,4,1.004079840937847
384,77.908,ot2,YPD,7,1,5,5,1.0038785161132373
385,80.233,ot2,YPD,7,1,6,1,1.0115741032591563
386,79.021,ot2,YPD,7,1,6,2,1.0049598758759268
387,78.402,ot2,YPD,7,1,6,3,1.0037383177570094
388,77.989,ot2,YPD,7,1,6,4,1.0032804178351815
389,78.987,ot2,YPD,7,1,6,5,1.0017247720384015
390,79.353,ot2,YPD,7,2,1,1,1.0389102001806731
391,76.697,ot2,YPD,7,2,1,2,1.006786558151746
392,76.528,ot2,YPD,7,2,1,3,0.9994384296927036
393,76.452,ot2,YPD,7,2,1,4,0.9997907621488726
394,77.547,ot2,YPD,7,2,1,5,1.0034809389476953
395,78.036,ot2,YPD,7,2,2,1,1.0210527693092757
396,76.928,ot2,YPD,7,2,2,2,1.0005592768420366
397,78.065,ot2,YPD,7,2,2,3,0.9959684107117796
398,76.77,ot2,YPD,7,2,2,4,0.9951003266448905
399,76.416,ot2,YPD,7,2,2,5,0.9973114771214532
400,78.274,ot2,YPD,7,2,3,1,1.020920829529151
401,77.508,ot2,YPD,7,2,3,2,0.998081306257002
402,77.656,ot2,YPD,7,2,3,3,0.9933864633569136
403,77.089,ot2,YPD,7,2,3,4,0.9928264173299332
404,76.25,ot2,YPD,7,2,3,5,0.9954568004386538
405,77.324,ot2,YPD,7,2,4,1,1.010111038536904
406,76.532,ot2,YPD,7,2,4,2,0.9966401875244172
407,76.909,ot2,YPD,7,2,4,3,0.9945429387955672
408,77.5,ot2,YPD,7,2,4,4,0.996400102854204
409,76.38,ot2,YPD,7,2,4,5,0.9974534769833496
410,77.48,ot2,YPD,7,2,5,1,1.0155983746231485
411,76.337,ot2,YPD,7,2,5,2,0.9996202498494094
412,76.546,ot2,YPD,7,2,5,3,0.9984608160283835
413,76.617,ot2,YPD,7,2,5,4,0.9997390294505264
414,75.808,ot2,YPD,7,2,5,5,1.005731267246869
415,79.083,ot2,YPD,7,2,6,1,1.0158381502890177
416,76.74,ot2,YPD,7,2,6,2,1.0079728895485531
417,76.432,ot2,YPD,7,2,6,3,1.006121078889518
418,76.454,ot2,YPD,7,2,6,4,1.0069276156358655
419,78.712,ot2,YPD,7,2,6,5,1.0054415859796133
420,81.752,ot2,YPD,8,1,1,1,1.0588814340854338
421,78.227,ot2,YPD,8,1,1,2,1.0163178339894243
422,77.338,ot2,YPD,8,1,1,3,1.0044548347295277
423,77.153,ot2,YPD,8,1,1,4,1.0008821430887982
424,77.339,ot2,YPD,8,1,1,5,0.9995993279048726
425,80.542,ot2,YPD,8,1,2,1,1.045850592772461
426,78.469,ot2,YPD,8,1,2,2,1.0121636612233316
427,77.726,ot2,YPD,8,1,2,3,1.0041729648721625
428,77.329,ot2,YPD,8,1,2,4,1.002138302835519
429,76.69,ot2,YPD,8,1,2,5,1.0018681333037218
430,80.856,ot2,YPD,8,1,3,1,1.044516212375662
431,78.536,ot2,YPD,8,1,3,2,1.0100443701369688
432,78.065,ot2,YPD,8,1,3,3,1.0033803758258142
433,77.851,ot2,YPD,8,1,3,4,1.002240045315859
434,77.241,ot2,YPD,8,1,3,5,1.0020107412500323
435,79.521,ot2,YPD,8,1,4,1,1.0312001556117487
436,77.794,ot2,YPD,8,1,4,2,1.008386586646273
437,77.85,ot2,YPD,8,1,4,3,1.002459470248136
438,78.226,ot2,YPD,8,1,4,4,1.0024604659507392
439,78.057,ot2,YPD,8,1,4,5,1.0031099402428838
440,79.729,ot2,YPD,8,1,5,1,1.02950519084758
441,78.537,ot2,YPD,8,1,5,2,1.009239507568943
442,78.058,ot2,YPD,8,1,5,3,1.0040130681964348
443,77.736,ot2,YPD,8,1,5,4,1.0036408707103572
444,77.877,ot2,YPD,8,1,5,5,1.0034790676098806
445,80.991,ot2,YPD,8,1,6,1,1.0211309336191137
446,79.198,ot2,YPD,8,1,6,2,1.0072108964657704
447,78.412,ot2,YPD,8,1,6,3,1.003866342337729
448,77.935,ot2,YPD,8,1,6,4,1.0025857411171433
449,78.944,ot2,YPD,8,1,6,5,1.0011794397027305
450,81.438,ot2,YPD,8,2,1,1,1.0662075647085008
451,77.245,ot2,YPD,8,2,1,2,1.0139800472564977
452,76.645,ot2,YPD,8,2,1,3,1.0009664233195334
453,76.466,ot2,YPD,8,2,1,4,0.999973845268609
454,77.508,ot2,YPD,8,2,1,5,1.0029762675017468
455,79.661,ot2,YPD,8,2,2,1,1.042314888717338
456,77.339,ot2,YPD,8,2,2,2,1.0059049229368535
457,78.14,ot2,YPD,8,2,2,3,0.9969252752580344
458,76.778,ot2,YPD,8,2,2,4,0.9952040234354748
459,76.382,ot2,YPD,8,2,2,5,0.996867740335674
460,79.937,ot2,YPD,8,2,3,1,1.0426111908177904
461,77.988,ot2,YPD,8,2,3,2,1.004262333080083
